instance_index,original_test_index,predicted_probability,SHAP_status,SHAP_duration,SHAP_credit_history,SHAP_purpose,SHAP_amount,SHAP_savings,SHAP_employment_duration,SHAP_installment_rate,SHAP_other_debtors,SHAP_present_residence,SHAP_property,SHAP_other_installment_plans,SHAP_housing,SHAP_number_credits,SHAP_job,SHAP_people_liable,SHAP_telephone
0,155,0.31,0.10115372247178894,-0.0928747922806588,0.0035851764142345406,-0.040255313607348596,-0.0034169951906077183,0.01669235937646442,-0.006802253584940488,-0.09309783103936053,0.003794738519740661,-0.026527395376825948,-0.02248980231182139,-0.017691566688211664,0.009435302912833631,-0.00829730563537745,0.0005526276452335699,-0.0031307784048135324,-0.008497312143631398
1,768,0.35,0.07630518601990485,-0.04169631849703862,-0.07577733529589663,-0.03694264642380946,-0.047880562306913586,0.02814631557669421,-0.0007473568953442949,-0.03422973892165212,-0.0034263716894308645,-0.01666262323868092,-0.023086960972783954,-0.024180426066554538,0.03257040077756648,0.022863725729552076,-0.009473631571796998,0.0019899586479856833,0.004360966204898409
2,438,0.58,0.1029194827458161,0.09582694666443758,-0.05594410945127511,0.0052777424431873525,-0.0300255867554073,0.03883973063374752,-0.0006128393907260434,0.007323777309172303,-0.02422483508777444,-0.015465609778462426,-0.018119485762049296,-0.012765082155267914,-0.020267731056235236,0.0004477884582303379,0.010311827409202126,-0.005357352319194798,0.003967917169299205
3,555,0.36,0.07684648571458352,-0.06196253861353227,0.0015238943745530457,-0.04846737427916787,-0.007369368933945041,0.016334869563464936,0.01652375238052904,-0.021932984545403503,0.00479383994140067,-0.06740605892314504,-0.026758694455771687,0.01235071823164408,-0.021124518034969047,-0.0073111617408125554,-0.0050074508346139406,-0.0013135820559378108,0.0024127532878216126
4,99,0.27,0.007501167492140905,-0.01760592099871526,-0.027768906114175464,-0.03934096582887644,-0.000924097189964378,-0.1161702166025212,-0.032318510543174264,0.003207445905286727,-0.0021958200128592382,-0.015926294791688028,-0.012611445749054791,0.058269057013915604,-0.0035416520098502545,0.0034204705048244744,-0.017907440892106812,-0.0013265814069925261,-0.012627707699490164
5,89,0.51,0.1325904690296539,-0.05769851618980882,0.11565339353202216,-0.014888392266725678,-0.055507981152338716,0.032261831005542814,-0.038307083585365824,0.007587854038688352,0.008096903931200196,-0.002472394794765439,-0.08022776167971021,-0.018806159408750706,-0.012058476951470262,-0.0006442469850835458,0.0033189870581188494,-0.0050448914247766844,-0.001720953079730939
6,29,0.84,0.15373244313834963,0.11005531262739898,-0.0333775658394272,-0.015225201155193163,0.024173380090585603,0.05392542798683944,0.005109523129674069,0.009445489508311589,-0.0015685810397418302,0.005298250468588117,0.05958367068762596,-0.01087577956630812,-0.008337535000560236,0.0020037878850808124,-0.0027583119214341853,-0.0008635457072852365,-0.008188184215805097
7,466,0.63,0.1380148201284962,0.042017673177753165,-0.03180966447534262,-0.02166927725136732,-0.058131081557109096,0.03624750340510677,0.03746301719017186,0.011018914317183723,0.004040202436277717,0.0012194679243722009,-0.009334417389658707,-0.012799773066664272,0.01819690394151172,-0.005204021540147906,0.004774614335012563,-0.0025048889933517986,-0.019407411505545015
8,566,0.41,0.09991370678490319,-0.0741959776258072,0.010386665283132401,0.06709378627051171,-0.021171385576268346,0.019517006631436507,-0.04463031776847268,-0.08603088871424283,0.0028669060156052114,-0.009512898398702233,-0.010803816149565998,-0.02180477747437524,-0.010565722251756279,-0.005788101626151194,0.0003692150962308769,0.005214342519771989,-0.00872516193955271
9,929,0.5,0.12784125197176827,-0.07086985790141148,-0.03482699439289177,0.052827075476585196,-0.0076571018356571445,0.017615761074229696,-0.011779279634527497,0.028490257382091135,0.0031753940326989293,0.012739114462617367,-0.03671909361419336,-0.022194985486264633,-0.010083639925712836,-0.0007621615680190388,-0.02332691365135587,-0.024989208687559522,0.002652963374300814
10,983,0.34,0.09941766398975925,0.021541761740427174,0.007605986663865376,-0.05701411286114046,0.013005367105353277,0.02126539937007138,-0.0285076393201419,-0.06308082628272166,0.0006495669041558963,-0.024681153688163156,-0.037886270327621624,-0.015974246897170266,-0.007629483341184053,-0.01523212705206044,-0.00817687121796087,-0.04482435493868588,-0.01834607877008253
11,958,0.55,0.1262805618000577,0.012660225719513316,0.02360017897630839,0.06585336870960597,-0.10810932803132499,0.04495128884445999,-0.028164768788469983,0.010102946260047095,0.0016861565579827243,-0.017481710265399814,-0.033007101045310454,-0.010496311169917569,-0.0139517346561077,-0.009005741186851914,-0.008972582192810517,-0.0006448729008723045,-0.0031679955542109517
12,444,0.43,0.06460612696242066,0.10705385967323398,-0.08572732930509896,-0.03001852823530278,0.004173122428516863,0.03794901055561559,-0.01937118942277182,-0.04045958482289242,-0.008161136965306265,-0.008295490481122065,-0.019630860152451617,-0.020288252867543623,-0.008654807299775332,-0.011221297829342697,-0.02082804468633701,0.0008427569060399235,-0.009835773381183705
13,672,0.35,-0.23177383753491204,0.0424871865984089,0.006029189777433045,0.02078015465886192,0.10811997334060662,0.020002952029414916,-0.028628895867978822,-0.00824250087126799,-0.003803829950452305,-0.0008068423089477607,-0.015399758026790885,-0.02790043415088547,-0.010880111516187905,-0.012442921441069931,0.0044893752185311405,0.001062334757204177,-0.010959453635268943
14,622,0.26,-0.10629982163915778,0.035500140255786725,0.0016759299095846468,-0.006741184331939294,-0.06298607199850464,-0.11912838841324337,-0.00950655817369667,0.0017460852867254473,-0.0021574292115890373,0.004234821589483233,-0.014796298436043694,0.07811992773416154,-0.013868535854575844,-0.011836577362384786,-0.005540788734756304,-0.0066508983132273405,0.0003682287700765124
15,416,0.38,0.08423297360138161,-0.0878166571192319,0.010300335270239725,0.029201137369435977,-0.09013490828839074,0.03389499700034819,0.002760927130076225,0.016384375969867023,0.0023443186682906136,-0.01530399007265502,-0.03169496387044112,-0.012661466556794461,-0.008309250425630615,-0.007068517170623035,-0.008672670298248355,-0.03529374646141608,-3.031366951398585e-05
16,143,0.3,0.1058248787910722,0.007819125438934727,-0.0040058567810570544,-0.0474870154613071,-0.09849417995658277,0.032887199631679416,-0.029529227806678316,-0.071532490751324,0.005005726037057094,0.0024679507227786867,-0.046363199139307365,-0.014612780191820964,-0.01064819817357632,-0.014758538458558724,-0.004882010712252676,-0.004465476592270257,-0.005093325520086594
17,782,0.45,0.07173583441499219,-0.0502585891493937,0.10876928224307557,-0.025247903209666626,-0.03160287252568447,0.029807498032378497,-0.011561670490115875,-0.04167790530002608,0.006410637301817919,-0.004082641254252053,-0.04516002874433755,-0.01191115259181602,-0.007401077339008493,-0.005759944679603861,-0.015068987506086762,-0.003622594073815407,-0.01123530405175749
18,112,0.47,0.04822502709647604,-0.007067246904188558,0.013242402409233446,0.056525352090979405,-0.050694413223562024,0.039861262718064214,-0.04775399397466706,0.02137419386072275,-0.001952040605862878,-0.011184280196782592,-0.03736594370830335,-0.021742588907350535,0.004126202009055915,-0.009285309273573626,-0.016821639829590496,0.002400370028836022,-0.009754772512787297
19,339,0.43,0.09885882663163888,-0.11567536070263512,0.013995769220475273,-0.019307867953026296,-0.06382339870877832,0.03983111535321431,0.005162282060102211,0.004695317300129791,0.005258754431062713,0.003485895128665785,-0.00575634834745463,-0.01696574251483907,-0.007810653081341388,0.0007105724552937017,-0.009933838505401861,-0.0038167748050810055,0.0032240331146736485
20,645,0.39,-0.09732763098839173,0.034768490349363176,-0.0185639000578657,0.016400209188335155,0.07755696216269771,-0.14315007672221156,0.062445198209572915,-0.0034109637105389596,-0.0034586079733483783,-0.016727447027005023,-0.010087978905274048,-0.01956567143421767,0.028685573402947643,0.00908960104724157,-0.01005142101831107,-8.748339771633857e-05,-0.014382272048578244
21,624,0.56,0.1411078310614467,-0.044157304219368955,0.0032724953046208644,-0.021351885491587674,-0.08431627844486764,0.0370223300796239,-0.004993378880539387,0.005254384827609789,0.006674734870986308,-0.005375264027589952,0.04059515153273293,-0.013385474079433085,0.004368494597164176,0.011255619858672503,0.003717084678940813,-0.013349676125184038,-0.0042062844665267255
22,188,0.37,0.11298155269715003,-0.0503715573523651,0.009515786676163245,-0.06280455118502448,-0.0034408228680500082,-0.021458498605253982,-0.03725776270156471,0.007734304636357697,0.0074995619231731795,-0.03562300827495588,-0.01451783241444636,-0.014776036843420666,-0.017836623312057667,-0.004502722385354641,0.0017666732911950577,-0.005995011754267443,0.0012191295494210844
23,938,0.81,0.09214553490862631,0.12465394239636768,0.006621585981359277,0.003273272604374988,-0.013171282434853836,0.051610186932445616,-0.009367972754949381,0.006825030653169405,0.00013972670106135373,0.006702624151275614,0.060609207873548204,-0.011531925744713619,0.004585921026444766,-0.006946085190488468,0.000452294687193975,-0.0029942112818324607,-0.0014752694323302991
24,878,0.35,0.09989438452102815,-0.10699386302476925,0.002503876018115699,0.020086491605303052,-0.05705717574688668,0.014239053086716195,-0.02014446976217139,-0.003309643983590479,0.002565699944629247,-0.00468212578828998,0.03404369958300503,-0.010263351007285997,-0.014535617621565576,-0.007014632958036925,-0.06476247503205788,-0.006072666247849867,-0.026364602509594385
25,706,0.55,0.074317762219509,0.08491664817920039,0.023833197903012044,0.015160648989377615,-0.009672919347743418,-0.002119133760704481,-0.05688548650310298,0.0033809081864735317,-0.006350139953423558,-0.0075205501827071836,-0.011781181743707115,-0.014242616240406323,-0.007718825094163247,-0.01059346359228783,-0.012233017573135743,0.0019259154455426104,-0.012285165855034667
26,369,0.27,0.03749175638301621,-0.011679560692117905,-0.006838678374399304,-0.03568265101314595,-0.06476367898787025,0.037470468928148586,-0.06339039292644359,-0.04596404466107408,-0.0008239963330935738,-0.00963887234783789,-0.02302934781790487,-0.017366520361989976,0.013766472355638848,-0.02292293784327058,-0.0030042278012278713,-0.0023438918813886754,-0.009147315548340066
27,569,0.82,0.15507029807970815,0.13496891187065937,0.026667191327311945,0.0005749310683044053,0.010923016423975671,0.04813335417578609,-0.015782367248963074,0.007877167275167584,0.002646566079798829,-0.009599264526675741,-0.023248122803496744,-0.00685027274838864,-0.0058762066878880114,-0.0027844541859339857,0.002900039245037542,0.0009500854087205626,-0.004438291676424214
28,790,0.29,0.044620184970290785,-0.002633487452303134,-0.01096972240042341,-0.0481044663800385,-0.029890234549062582,0.02552279740681643,-0.0320287266250397,-0.032583403802611585,0.004433563514265444,-0.03386958338274559,-0.03308448432471415,-0.02553645306627978,-0.015161087878056962,-0.008607394733442512,-0.003001637132435397,0.0010518667338958003,-0.008025149821416324
29,489,0.25,-0.09683500979411311,-0.11072723609580472,0.015183222676704584,0.028474362467745682,-0.06126869762225787,0.0029760764489492383,-0.01699068385596556,-0.011244086982966962,0.014883824760623802,-0.00637896864613779,-0.004105789464868298,-0.019858555598326146,0.026890378981378228,-0.014473202818155857,-0.008873907302548787,0.00335936723810986,0.011121486684332833
30,108,0.38,0.10203452603533888,-0.013916128162561957,0.020745051919439334,-0.032396398958030474,0.030675317829218667,-0.1498438546326218,-0.012012120993043237,-0.028814639857609355,0.0007221954325003727,-0.012382639437519771,-0.005446828560459922,-0.007364271995046808,-0.006666416184282933,-0.006290831669404853,0.0012024877578347456,-0.002032695391272947,0.003919827944221109
31,875,0.35,0.07179174721300742,-0.07959052409194284,-0.08230576631717576,0.05461011405353427,0.009620302508958147,-0.058514263346517284,0.0028473446058171815,0.011608518533378168,-0.005336667353388818,-0.031041917039641997,0.005012284648188663,-0.021945052604639404,-0.014543080950435728,-0.009756605872101927,0.0005360230604095832,-0.004508596524613347,0.00364872055386268
32,443,0.29,-0.21240881164343262,-0.03647405164352929,0.0041866598742999386,-0.014684285687822173,-0.008977147409105393,0.0040237955395955715,-0.03380390538986548,0.007915313978433843,-0.0005719824168588679,-0.01716105625925456,-0.014054579456963225,0.08523867812165344,-0.011215868022752925,0.0027808316024478343,0.0036565467134918126,0.02995740169506656,0.0037250414812941457
